x	intensity
1.216986327999999958e+03	5.699089703397199003e+01
1.215292969000000085e+03	5.091879549164386987e+01
1.213599609000000100e+03	5.745322293765114807e+01
1.211906250000000000e+03	5.871978960439167849e+01
1.210212890999999900e+03	5.115854615914253145e+01
1.208519530999999915e+03	6.160063537448850468e+01
1.206824219000000085e+03	5.162063693280991572e+01
1.205130859000000100e+03	4.322094456495879200e+01
1.203435547000000042e+03	5.954223102809552159e+01
1.201738280999999915e+03	6.333265056816297545e+01
1.200042969000000085e+03	5.647028041003579801e+01
1.198347655999999915e+03	5.790425008897982906e+01
1.196650390999999900e+03	5.033833058827421780e+01
1.194953125000000000e+03	6.037595067819400896e+01
1.193255859000000100e+03	5.403983680087240771e+01
1.191558594000000085e+03	4.922565841049165414e+01
1.189859375000000000e+03	5.038424397213562145e+01
1.188162109000000100e+03	6.080823306878368584e+01
1.186462890999999900e+03	4.514860407446786184e+01
1.184763672000000042e+03	5.777827727643325773e+01
1.183062500000000000e+03	4.844759542832643007e+01
1.181363280999999915e+03	6.635585887224105761e+01
1.179662109000000100e+03	6.398575014309946596e+01
1.177960937999999942e+03	5.174283193192270147e+01
1.176259765999999900e+03	5.029945321295853233e+01
1.174558594000000085e+03	6.721552985881723430e+01
1.172857422000000042e+03	6.623005020912103191e+01
1.171154297000000042e+03	5.740335287275684095e+01
1.169451172000000042e+03	4.542454483215976069e+01
1.167748047000000042e+03	5.960127830366332802e+01
1.166044922000000042e+03	5.773224874890252067e+01
1.164341797000000042e+03	6.051194150366176672e+01
1.162636719000000085e+03	5.248944315023199181e+01
1.160933594000000085e+03	6.924586801682869464e+01
1.159228515999999900e+03	6.677134766662844356e+01
1.157523437999999942e+03	6.287872508313120079e+01
1.155816405999999915e+03	6.769064963854350481e+01
1.154111327999999958e+03	6.006653465509016598e+01
1.152404297000000042e+03	4.485891765223371408e+01
1.150697265999999900e+03	6.056744062284575136e+01
1.148990234000000100e+03	6.188416745893499638e+01
1.147283202999999958e+03	6.341959296678297875e+01
1.145574219000000085e+03	5.176636100704423171e+01
1.143865234000000100e+03	5.150585393097674114e+01
1.142156250000000000e+03	4.078319782042065356e+01
1.140447265999999900e+03	6.214460746639799993e+01
1.138738280999999915e+03	5.294223263861577067e+01
1.137029297000000042e+03	5.137103306983357953e+01
1.135318359000000100e+03	6.302563495048516984e+01
1.133607422000000042e+03	5.510992647911484710e+01
1.131896484000000100e+03	5.160204657425394714e+01
1.130185547000000042e+03	5.810230196400893021e+01
1.128472655999999915e+03	5.541250372498143406e+01
1.126761719000000085e+03	4.962696437673284322e+01
1.125048827999999958e+03	5.588660497384500303e+01
1.123335937999999942e+03	6.853194458878337514e+01
1.121621094000000085e+03	5.566171202897955084e+01
1.119908202999999958e+03	4.672214226648432600e+01
1.118193359000000100e+03	6.637179796836264245e+01
1.116480469000000085e+03	5.238791609188734100e+01
1.114765625000000000e+03	7.173233825460953028e+01
1.113048827999999958e+03	7.539181374998328522e+01
1.111333984000000100e+03	6.562889109863453996e+01
1.109617187999999942e+03	6.877764857831012080e+01
1.107900390999999900e+03	6.466307538941427424e+01
1.106183594000000085e+03	7.306735346206743031e+01
1.104466797000000042e+03	6.532349317487710039e+01
1.102750000000000000e+03	6.075415889520768786e+01
1.101031250000000000e+03	7.130471145514471232e+01
1.099312500000000000e+03	6.268506234522103426e+01
1.097593750000000000e+03	7.368210936540212685e+01
1.095875000000000000e+03	7.632402396546044088e+01
1.094156250000000000e+03	7.654221513286516654e+01
1.092435547000000042e+03	5.906637304298740787e+01
1.090716797000000042e+03	6.480236891037148439e+01
1.088996094000000085e+03	4.677016863645165046e+01
1.087273437999999942e+03	5.981550167660605410e+01
1.085552734000000100e+03	6.261268546418352798e+01
1.083830077999999958e+03	5.776776953631437550e+01
1.082109375000000000e+03	5.744656394720969672e+01
1.080386719000000085e+03	6.400968474006249664e+01
1.078664062999999942e+03	6.502995553642691107e+01
1.076939452999999958e+03	7.470458869749482744e+01
1.075216797000000042e+03	5.968625761955590292e+01
1.073492187999999942e+03	6.278537226732106546e+01
1.071767577999999958e+03	6.352481449162218041e+01
1.070042969000000085e+03	5.828597160293285384e+01
1.068316405999999915e+03	6.233446264175291418e+01
1.066591797000000042e+03	6.559490261468825167e+01
1.064865234000000100e+03	5.462067585298389361e+01
1.063138672000000042e+03	6.843540283693987192e+01
1.061412109000000100e+03	6.793123654095832364e+01
1.059685547000000042e+03	6.329991972874633177e+01
1.057957030999999915e+03	6.858915190708503928e+01
1.056228515999999900e+03	7.706892024476822201e+01
1.054501952999999958e+03	8.637921173599909253e+01
1.052771484000000100e+03	7.117336678361839120e+01
1.051042969000000085e+03	7.575277042067199318e+01
1.049314452999999958e+03	5.983345710567957099e+01
1.047583984000000100e+03	5.648154099837543640e+01
1.045853515999999900e+03	6.309765635595924493e+01
1.044123047000000042e+03	5.485704161944899937e+01
1.042390625000000000e+03	4.904741955131738251e+01
1.040660155999999915e+03	7.005049195330647649e+01
1.038927734000000100e+03	6.059640178155824941e+01
